date,ticker,field,value
2003-01-02,MEXBOL Index,PX_OPEN,6127.09
2003-01-02,MEXBOL Index,PX_LAST,6225.4
2003-01-02,MEXBOL Index,PX_LOW,6120.81
2003-01-02,MEXBOL Index,PX_HIGH,6231.75
2003-01-02,MEXBOL Index,PX_VOLUME,17225400.0
2003-01-03,MEXBOL Index,PX_OPEN,6225.4
2003-01-03,MEXBOL Index,PX_LAST,6253.34
2003-01-03,MEXBOL Index,PX_LOW,6219.9
2003-01-03,MEXBOL Index,PX_HIGH,6264.85
2003-01-03,MEXBOL Index,PX_VOLUME,29994400.0
2003-01-06,MEXBOL Index,PX_OPEN,6253.34
2003-01-06,MEXBOL Index,PX_LAST,6333.46
2003-01-06,MEXBOL Index,PX_LOW,6253.34
2003-01-06,MEXBOL Index,PX_HIGH,6363.74
2003-01-06,MEXBOL Index,PX_VOLUME,77105600.0
2003-01-07,MEXBOL Index,PX_OPEN,6331.68
2003-01-07,MEXBOL Index,PX_LAST,6279.28
2003-01-07,MEXBOL Index,PX_LOW,6278.7
2003-01-07,MEXBOL Index,PX_HIGH,6332.9
2003-01-07,MEXBOL Index,PX_VOLUME,52681400.0
2003-01-08,MEXBOL Index,PX_OPEN,6279.28
2003-01-08,MEXBOL Index,PX_LAST,6266.48
2003-01-08,MEXBOL Index,PX_LOW,6262.34
2003-01-08,MEXBOL Index,PX_HIGH,6299.75
2003-01-08,MEXBOL Index,PX_VOLUME,47660400.0
2003-01-09,MEXBOL Index,PX_OPEN,6271.01
2003-01-09,MEXBOL Index,PX_LAST,6329.96
2003-01-09,MEXBOL Index,PX_LOW,6271.01
2003-01-09,MEXBOL Index,PX_HIGH,6333.0
2003-01-09,MEXBOL Index,PX_VOLUME,44727300.0
2003-01-10,MEXBOL Index,PX_OPEN,6328.36
2003-01-10,MEXBOL Index,PX_LAST,6353.03
2003-01-10,MEXBOL Index,PX_LOW,6315.63
2003-01-10,MEXBOL Index,PX_HIGH,6383.48
2003-01-10,MEXBOL Index,PX_VOLUME,48820400.0
2003-01-13,MEXBOL Index,PX_OPEN,6353.03
2003-01-13,MEXBOL Index,PX_LAST,6364.64
2003-01-13,MEXBOL Index,PX_LOW,6347.19
2003-01-13,MEXBOL Index,PX_HIGH,6396.91
2003-01-13,MEXBOL Index,PX_VOLUME,31323500.0
2003-01-14,MEXBOL Index,PX_OPEN,6364.64
2003-01-14,MEXBOL Index,PX_LAST,6407.0
2003-01-14,MEXBOL Index,PX_LOW,6361.53
2003-01-14,MEXBOL Index,PX_HIGH,6407.0
2003-01-14,MEXBOL Index,PX_VOLUME,65749000.0
2003-01-15,MEXBOL Index,PX_OPEN,6404.76
2003-01-15,MEXBOL Index,PX_LAST,6398.9
2003-01-15,MEXBOL Index,PX_LOW,6378.91
2003-01-15,MEXBOL Index,PX_HIGH,6415.85
2003-01-15,MEXBOL Index,PX_VOLUME,76526900.0
2003-01-16,MEXBOL Index,PX_OPEN,6398.9
2003-01-16,MEXBOL Index,PX_LAST,6331.99
2003-01-16,MEXBOL Index,PX_LOW,6324.24
2003-01-16,MEXBOL Index,PX_HIGH,6404.18
2003-01-16,MEXBOL Index,PX_VOLUME,67662800.0
2003-01-17,MEXBOL Index,PX_OPEN,6330.92
2003-01-17,MEXBOL Index,PX_LAST,6204.46
2003-01-17,MEXBOL Index,PX_LOW,6204.46
2003-01-17,MEXBOL Index,PX_HIGH,6331.57
2003-01-17,MEXBOL Index,PX_VOLUME,86244200.0
2003-01-20,MEXBOL Index,PX_OPEN,6203.15
2003-01-20,MEXBOL Index,PX_LAST,6161.12
2003-01-20,MEXBOL Index,PX_LOW,6160.73
2003-01-20,MEXBOL Index,PX_HIGH,6203.61
2003-01-20,MEXBOL Index,PX_VOLUME,20845500.0
2003-01-21,MEXBOL Index,PX_OPEN,6161.48
2003-01-21,MEXBOL Index,PX_LAST,6092.13
2003-01-21,MEXBOL Index,PX_LOW,6087.31
2003-01-21,MEXBOL Index,PX_HIGH,6170.52
2003-01-21,MEXBOL Index,PX_VOLUME,70583400.0
2003-01-22,MEXBOL Index,PX_OPEN,6091.62
2003-01-22,MEXBOL Index,PX_LAST,6024.09
2003-01-22,MEXBOL Index,PX_LOW,6009.26
2003-01-22,MEXBOL Index,PX_HIGH,6091.62
2003-01-22,MEXBOL Index,PX_VOLUME,59732300.0
2003-01-23,MEXBOL Index,PX_OPEN,6024.13
2003-01-23,MEXBOL Index,PX_LAST,6054.44
2003-01-23,MEXBOL Index,PX_LOW,6021.58
2003-01-23,MEXBOL Index,PX_HIGH,6064.98
2003-01-23,MEXBOL Index,PX_VOLUME,39028600.0
2003-01-24,MEXBOL Index,PX_OPEN,6054.44
2003-01-24,MEXBOL Index,PX_LAST,6012.56
2003-01-24,MEXBOL Index,PX_LOW,5984.35
2003-01-24,MEXBOL Index,PX_HIGH,6057.7
2003-01-24,MEXBOL Index,PX_VOLUME,38198500.0
2003-01-27,MEXBOL Index,PX_OPEN,6009.54
2003-01-27,MEXBOL Index,PX_LAST,5923.33
2003-01-27,MEXBOL Index,PX_LOW,5903.57
2003-01-27,MEXBOL Index,PX_HIGH,6009.54
2003-01-27,MEXBOL Index,PX_VOLUME,41688600.0
2003-01-28,MEXBOL Index,PX_OPEN,5919.33
2003-01-28,MEXBOL Index,PX_LAST,5919.7
2003-01-28,MEXBOL Index,PX_LOW,5860.16
2003-01-28,MEXBOL Index,PX_HIGH,5929.77
2003-01-28,MEXBOL Index,PX_VOLUME,68144500.0
2003-01-29,MEXBOL Index,PX_OPEN,5918.32
2003-01-29,MEXBOL Index,PX_LAST,5937.97
2003-01-29,MEXBOL Index,PX_LOW,5874.05
2003-01-29,MEXBOL Index,PX_HIGH,5950.14
2003-01-29,MEXBOL Index,PX_VOLUME,61031800.0
2003-01-30,MEXBOL Index,PX_OPEN,5940.74
2003-01-30,MEXBOL Index,PX_LAST,5870.51
2003-01-30,MEXBOL Index,PX_LOW,5870.51
2003-01-30,MEXBOL Index,PX_HIGH,5953.12
2003-01-30,MEXBOL Index,PX_VOLUME,58759200.0
2003-01-31,MEXBOL Index,PX_OPEN,5870.51
2003-01-31,MEXBOL Index,PX_LAST,5954.35
2003-01-31,MEXBOL Index,PX_LOW,5867.85
2003-01-31,MEXBOL Index,PX_HIGH,5955.07
2003-01-31,MEXBOL Index,PX_VOLUME,48248400.0
2003-02-03,MEXBOL Index,PX_OPEN,5954.35
2003-02-03,MEXBOL Index,PX_LAST,6031.81
2003-02-03,MEXBOL Index,PX_LOW,5949.93
2003-02-03,MEXBOL Index,PX_HIGH,6059.55
2003-02-03,MEXBOL Index,PX_VOLUME,39918500.0
2003-02-04,MEXBOL Index,PX_OPEN,6030.53
2003-02-04,MEXBOL Index,PX_LAST,5968.46
2003-02-04,MEXBOL Index,PX_LOW,5955.0
2003-02-04,MEXBOL Index,PX_HIGH,6032.0
2003-02-04,MEXBOL Index,PX_VOLUME,42129700.0
2003-02-06,MEXBOL Index,PX_OPEN,5967.73
2003-02-06,MEXBOL Index,PX_LAST,5894.27
2003-02-06,MEXBOL Index,PX_LOW,5881.79
2003-02-06,MEXBOL Index,PX_HIGH,5967.73
2003-02-06,MEXBOL Index,PX_VOLUME,50516900.0
2003-02-07,MEXBOL Index,PX_OPEN,5894.27
2003-02-07,MEXBOL Index,PX_LAST,5866.03
